id,Geographic Area Name,Percent!!SEX AND AGE!!Total population,Percent!!RACE!!Total population!!One race!!White,Percent!!RACE!!Total population!!One race!!Black or African American,Percent!!RACE!!Total population!!One race!!Asian,Percent!!HISPANIC OR LATINO AND RACE!!Total population,gen_z,gen_y,gen_x,baby_boomer,silent_gen,county_name,state
0500000US01001,"Autauga County, Alabama",55380,76.8,19.0,1.0,55380,13.3,12.7,27.2,21.3,6.300000000000001,Autauga County, Alabama
0500000US01003,"Baldwin County, Alabama",212830,86.2,9.3,0.9,212830,11.1,11.2,25.4,26.4,7.9,Baldwin County, Alabama
0500000US01005,"Barbour County, Alabama",25361,46.8,47.6,0.5,25361,11.899999999999999,14.4,25.1,24.1,7.4,Barbour County, Alabama
0500000US01007,"Bibb County, Alabama",22493,76.8,22.3,0.1,22493,11.8,14.6,28.5,22.1,6.6,Bibb County, Alabama
0500000US01009,"Blount County, Alabama",57681,95.5,1.6,0.4,57681,11.899999999999999,11.9,25.9,23.9,7.3,Blount County, Alabama
0500000US01011,"Bullock County, Alabama",10248,21.9,74.8,0.5,10248,13.7,12.4,26.8,24.1,6.1000000000000005,Bullock County, Alabama
0500000US01013,"Butler County, Alabama",19828,51.8,45.4,0.3,19828,11.9,11.8,24.0,25.7,8.1,Butler County, Alabama
0500000US01015,"Calhoun County, Alabama",114618,73.7,20.8,0.9,114618,13.2,13.2,24.6,24.1,7.0,Calhoun County, Alabama
0500000US01017,"Chambers County, Alabama",33660,57.7,39.6,1.1,33660,11.9,12.3,24.9,26.1,7.4,Chambers County, Alabama
0500000US01019,"Cherokee County, Alabama",25903,92.9,4.6,0.2,25903,11.2,9.6,25.299999999999997,29.1,8.9,Cherokee County, Alabama
0500000US01021,"Chilton County, Alabama",44055,83.6,9.2,0.4,44055,12.2,13.1,26.0,22.5,6.6,Chilton County, Alabama
0500000US01023,"Choctaw County, Alabama",12925,56.8,42.6,0.1,12925,11.5,9.9,24.5,28.1,9.7,Choctaw County, Alabama
0500000US01025,"Clarke County, Alabama",24128,53.0,45.8,0.4,24128,12.8,10.8,25.1,24.9,8.7,Clarke County, Alabama
0500000US01027,"Clay County, Alabama",13337,83.2,15.6,0.2,13337,11.600000000000001,11.3,24.7,26.3,8.6,Clay County, Alabama
0500000US01029,"Cleburne County, Alabama",14916,93.9,2.7,0.0,14916,11.0,11.8,25.9,24.5,8.0,Cleburne County, Alabama
0500000US01031,"Coffee County, Alabama",51662,75.7,16.9,1.4,51662,12.0,12.8,26.3,22.299999999999997,6.9,Coffee County, Alabama
