id,Geographic Area Name,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars),Percent!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage,county_name,state
0500000US01001,"Autauga County, Alabama",37.8,16.8,22.0,7.8,15.6,35769.0,7.1,Autauga County, Alabama
0500000US01003,"Baldwin County, Alabama",37.1,17.8,23.8,9.3,12.0,32257.0,8.9,Baldwin County, Alabama
0500000US01005,"Barbour County, Alabama",26.9,15.4,19.1,14.1,24.6,25323.0,11.3,Barbour County, Alabama
0500000US01007,"Bibb County, Alabama",20.4,15.8,21.1,16.8,26.0,25860.0,10.7,Bibb County, Alabama
0500000US01009,"Blount County, Alabama",30.2,13.1,20.2,16.2,20.3,35500.0,10.8,Blount County, Alabama
0500000US01011,"Bullock County, Alabama",20.5,17.3,16.8,12.5,32.9,26938.0,11.4,Bullock County, Alabama
0500000US01013,"Butler County, Alabama",27.3,16.4,20.0,10.2,26.1,25327.0,8.7,Butler County, Alabama
0500000US01015,"Calhoun County, Alabama",28.2,17.0,23.0,10.4,21.3,28889.0,9.5,Calhoun County, Alabama
0500000US01017,"Chambers County, Alabama",22.9,15.8,19.1,10.5,31.7,29572.0,10.3,Chambers County, Alabama
0500000US01019,"Cherokee County, Alabama",28.1,15.1,15.8,14.0,27.1,30663.0,8.6,Cherokee County, Alabama
0500000US01021,"Chilton County, Alabama",22.2,13.6,23.3,19.0,21.9,30062.0,13.0,Chilton County, Alabama
0500000US01023,"Choctaw County, Alabama",26.4,15.0,21.0,16.0,21.6,29758.0,10.3,Choctaw County, Alabama
0500000US01025,"Clarke County, Alabama",23.3,14.6,18.9,16.5,26.7,32863.0,9.7,Clarke County, Alabama
0500000US01027,"Clay County, Alabama",24.2,13.8,16.7,10.4,34.9,25584.0,10.3,Clay County, Alabama
