id,Geographic Area Name,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Percent!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only,Percent!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,county_name,state
0500000US01001,"Autauga County, Alabama",26.6,12.6,95.7,42.3,Autauga County, Alabama
0500000US01003,"Baldwin County, Alabama",31.9,11.8,94.6,53.9,Baldwin County, Alabama
0500000US01005,"Barbour County, Alabama",11.6,6.6,92.9,51.4,Barbour County, Alabama
0500000US01007,"Bibb County, Alabama",10.4,8.0,97.7,58.8,Bibb County, Alabama
0500000US01009,"Blount County, Alabama",13.1,7.7,91.8,63.1,Blount County, Alabama
0500000US01011,"Bullock County, Alabama",12.1,3.3,96.6,0.0,Bullock County, Alabama
0500000US01013,"Butler County, Alabama",16.1,6.6,98.7,49.0,Butler County, Alabama
0500000US01015,"Calhoun County, Alabama",18.5,10.8,95.7,50.1,Calhoun County, Alabama
0500000US01017,"Chambers County, Alabama",13.3,7.9,97.6,78.2,Chambers County, Alabama
0500000US01019,"Cherokee County, Alabama",12.8,9.1,98.5,36.0,Cherokee County, Alabama
0500000US01021,"Chilton County, Alabama",12.7,7.6,92.5,68.2,Chilton County, Alabama
0500000US01023,"Choctaw County, Alabama",11.9,8.6,98.4,43.9,Choctaw County, Alabama
0500000US01025,"Clarke County, Alabama",12.2,6.2,99.1,24.6,Clarke County, Alabama
0500000US01027,"Clay County, Alabama",10.6,6.0,96.8,67.8,Clay County, Alabama
0500000US01029,"Cleburne County, Alabama",15.4,6.1,97.1,62.2,Cleburne County, Alabama
0500000US01031,"Coffee County, Alabama",22.8,16.4,93.6,54.2,Coffee County, Alabama
0500000US01033,"Colbert County, Alabama",18.1,8.9,97.3,61.5,Colbert County, Alabama
0500000US01035,"Conecuh County, Alabama",12.8,5.9,99.6,19.8,Conecuh County, Alabama
0500000US01037,"Coosa County, Alabama",12.8,10.4,99.3,92.5,Coosa County, Alabama
0500000US01039,"Covington County, Alabama",15.3,10.0,98.3,48.1,Covington County, Alabama
0500000US01041,"Crenshaw County, Alabama",17.4,6.6,98.0,64.6,Crenshaw County, Alabama
